Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Mean entropy and complexity;0,604;0,597;0,09%;0,36%;"Гурджибети Блашка., ""Уаджимисти ?мбурдгонд"""
5;3;Minimum entropy;0,55;0,546;-17,18%;-13,99%;"Бицъоты Гриш, ""Уыцы баестаем нанамае"""
;;Mean entropy;0,664;0,641;-0,09%;1,05%;"Ходов К.Х., ""Балс?джы цалх"""
;;Maximum entropy;0,784;0,67;17,95%;5,58%;"""Ирон ад?мон сф?лдыстад"""
;;Minimum complexity;0,55;0,546;-17,18%;-13,99%;"Бицъоты Гриш, ""Уыцы баестаем нанамае"""
;;Mean complexity;0,653;0,633;-1,71%;-0,15%;"Епхиев Т.А., ""Уацмыст? ?рт? том?й"""
;;Maximum complexity;0,749;0,678;12,72%;6,82%;"""Ирон ад?мон сф?лдыстад"""
;;Mean entropy and complexity;0,661;0,639;-0,49%;0,71%;"Бицъоты Г.Х., ""Газгайы чындз"""
;;;;;;;
Thai;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;4;Minimum entropy;0,634;0,408;-13,28%;-7,89%;?????????? ?
;;Mean entropy;0,728;0,443;-0,44%;-0,16%;?????????
;;Maximum entropy;0,838;0,356;14,60%;-19,65%;??????????? ??????? ? ???????? ?
;;Minimum complexity;0,828;0,351;13,30%;-20,87%;??????????????????? ?.1 ???? 2
;;Mean complexity;0,728;0,443;-0,44%;-0,16%;????????? 
;;Maximum complexity;0,662;0,512;-9,40%;15,49%;???????????????????????????
;;Mean entropy and complexity;0,756;0,4;3,47%;-9,70%;???????????? ?????-?????-????????
3;6;Minimum entropy;0,502;0,482;-15,29%;-12,01%;??????????????
;;Mean entropy;0,592;0,562;-0,18%;2,52%;?????????? ?????????????????? ????????????????? 
;;Maximum entropy;0,705;0,581;18,85%;6,00%;???????
;;Minimum complexity;0,504;0,47;-15,06%;-14,30%;??????????
;;Mean complexity;0,569;0,546;-4,07%;-0,42%;?????????? 
;;Maximum complexity;0,7;0,605;17,99%;10,37%;????????????????????? 
;;Mean entropy and complexity;0,589;0,556;-0,72%;1,50%;?????????
4;3;Minimum entropy;0,601;0,514;-15,16%;-4,64%;?????????? ???????
;;Mean entropy;0,704;0,582;-0,55%;8,05%;?????????????????????????????????? 
;;Maximum entropy;0,846;0,428;19,44%;-20,62%;??????????? ??????? ?? ????????????????????
;;Minimum complexity;0,846;0,428;19,44%;-20,62%;??????????? ??????? ?? ????????????????????
;;Mean complexity;0,791;0,539;11,64%;-0,01%;?????????????? ?????? 
;;Maximum complexity;0,693;0,584;-2,15%;8,48%;????????????????????
;;Mean entropy and complexity;0,684;0,573;-3,39%;6,38%;???????????? ????????
5;2;Minimum entropy;0,602;0,555;-12,52%;-0,62%;??????????????????????????????? - ?????????????????????????
;;Mean entropy;0,685;0,554;-0,52%;-0,89%;???????????? ???-????????????
;;Maximum entropy;0,809;0,523;17,60%;-6,40%;?????????????????? 
;;Minimum complexity;0,786;0,506;14,17%;-9,53%;???????????
;;Mean complexity;0,701;0,559;1,85%;-0,03%;??????????? ?????????????
;;Maximum complexity;0,703;0,586;2,15%;4,95%;??????????????????????????????????? 
;;Mean entropy and complexity;0,669;0,583;-2,75%;4,40%;?????????? ???????????????????????? ???????
;;;;;;;
Persian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,7;0,601;-12,97%;19,39%;"???????? ?????? ?????? ????? ?????? ?????? ????? ?? ??? ????? ???? ???? ???????? ""??? ? ?? ?? ??????? ?????"""
;;Mean entropy;0,804;0,491;-0,01%;-2,61%;"?????? ??????? ""????????? ????? ? ????? ???"""
;;Maximum entropy;0,868;0,409;7,93%;-18,88%;"??? ???? ????? ""????? ??? (?? ???? ????? ????? ???? ??? ??? ????? ????)"""
;;Minimum complexity;0,855;0,401;6,29%;-20,46%;"?.??.????????? ""????? ?? ?????? ???? ??????"""
;;Mean complexity;0,814;0,504;1,20%;-0,01%;"???? ????? ""????? ? ??????? ???? ?? ??? ????? ???"""
;;Maximum complexity;0,704;0,606;-12,45%;20,25%;"??? ????? ?""?????? ???????"""
;;Mean entropy and complexity;0,852;0,424;5,88%;-15,91%;"???? ??????? ""?????? ?? ????? ????? ? ???? ????? ?? ????"""
3;8;Minimum entropy;0,57;0,564;-15,89%;-11,73%;"???? ?????? ""????? ???? ???? ?????"""
;;Mean entropy;0,678;0,644;-0,03%;0,83%;"???? ?? ?????????? ""?????????? ????? ???? ??????? ???????? ?????"""
;;Maximum entropy;0,783;0,648;15,51%;1,51%;"??? ??? ??????? ""????? ??? ?????? ????? ??????? ? ??? ??? ?????"""
;;Minimum complexity;0,571;0,559;-15,80%;-12,54%;"????? ?? ?????????, ?????? ??????? ?????? ""????? ?????? ????? ??? ??????? ??????"""
;;Mean complexity;0,665;0,639;-2,02%;-0,03%;"??????????? ????????? ""????????? ??? ????? - ????? ? ??????"""
;;Maximum complexity;0,741;0,672;9,27%;5,18%;"???? ???????? ""??? ???? ??? ?????"""
;;Mean entropy and complexity;0,675;0,645;-0,52%;0,91%;"???????? ??????? ""????? ?????? ????????? ? ????? ?????"""
4;4;Minimum entropy;0,631;0,6;-15,52%;-3,88%;"???? ?????? ""????? ?????? ??? ????? (??????? ?? ??????? ?????? ?????????????)"""
;;Mean entropy;0,747;0,631;0,00%;1,00%;"???? ?? ?????????? ""???? ???? (?????? ?????? ?????? ????? ? ?????????)"""
;;Maximum entropy;0,836;0,536;11,92%;-14,20%;"??? ??? ??????? ""????? ??? ?????? ????? ??????? ? ??? ??? ?????"""
;;Minimum complexity;0,832;0,526;11,43%;-15,81%;"???? ??????? ""??? ?? ??????? ??"""
;;Mean complexity;0,785;0,625;5,14%;0,00%;"???? ???????? ""????? ?? ???? ??? ????? ? ?????"""
;;Maximum complexity;0,733;0,651;-1,85%;4,14%;"??????? ""??????? ??????? ?????? ?????? 1345"""
;;Mean entropy and complexity;0,73;0,646;-2,26%;3,44%;"????????? ???????????? ""?????? ???????? ?????"""
4;5;Minimum entropy;0,522;0,521;-17,26%;-15,88%;"???? ?????? ""????? ???? ???? ?????"""
;;Mean entropy;0,631;0,622;0,00%;0,46%;"?????? ????????? ?????: ??????? ???? ?????? ""???? ????? ?? ????? ?????"""
;;Maximum entropy;0,738;0,689;16,83%;11,31%;"???? ?? ?????????? ""?????? ????? ????? ???????"""
;;Minimum complexity;0,522;0,521;-17,26%;-15,88%;"???? ?????? ""????? ???? ???? ?????"""
;;Mean complexity;0,628;0,619;-0,45%;-0,03%;"??????? ???? ?? ????: ????? ????? (???????)? ""??????? ?? ?????? ?????? ?????? ????? ???? ??????? ????"""
;;Maximum complexity;0,737;0,689;16,67%;11,32%;"???? ???? ????? ""??? ?????"""
;;Mean entropy and complexity;0,632;0,622;0,04%;0,43%;"????? ????????? ""????? ??? ??? ????????"""
5;3;Minimum entropy;0,59;0,582;-15,68%;-10,99%;"?????? ?????, ???? ??????, ???? ?????? ""????????? (??? ?? ?? ???? ? ????? ??? ?? ??? ?? ???????)"""
;;Mean entropy;0,7;0,663;-0,03%;1,37%;"????? ?????? ??????????? ??????? ????? ""????? ???????"""
;;Maximum entropy;0,801;0,656;14,41%;0,25%;"???? ???? ????? ""??? ?????"""
;;Minimum complexity;0,59;0,582;-15,68%;-10,99%;"?????? ?????, ???? ??????, ???? ?????? ""????????? (??? ?? ?? ???? ? ????? ??? ?? ??? ?? ???????)"""
;;Mean complexity;0,684;0,654;-2,26%;-0,01%;"?????? ?????????? ""?????? ?????? ?? ?????"""
;;Maximum complexity;0,753;0,679;7,51%;3,84%;"???? ??????? ????? ???????? ????? ?????? ""????? ???? ?? ?????? ??????? - ????? (????? ??????)"""
;;Mean entropy and complexity;0,696;0,661;-0,65%;1,06%;"??????? ??? ??????? ""????? ?????? - ????? ????? ? ?????????"""
;;;;;;;
Uzbek;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;4;Minimum entropy;0,617;0,501;-13,88%;1,13%;Ona plata
;;Mean entropy;0,716;0,503;0,00%;1,63%;Imom Abu Dovud
;;Maximum entropy;0,836;0,396;16,79%;-19,99%;Kara brassica
;;Minimum complexity;0,835;0,396;16,62%;-20,03%;Baliqchi tumani
;;Mean complexity;0,737;0,495;2,89%;0,00%;Islombekov Rajab
;;Maximum complexity;0,668;0,518;-6,72%;4,50%;Yuksak qisqichbaqasimonlar
;;Mean entropy and complexity;0,71;0,506;-0,79%;2,24%;Petrodvorets
3;5;Minimum entropy;0,505;0,479;-13,59%;-9,95%;Hinokitiol
;;Mean entropy;0,584;0,536;0,00%;0,68%;Forobiy
;;Maximum entropy;0,687;0,57;17,67%;7,02%;Darvishbek Rahmonov
;;Minimum complexity;0,505;0,479;-13,59%;-9,95%;Hinokitiol
;;Mean complexity;0,577;0,532;-1,12%;0,00%;Smorodina
;;Maximum complexity;0,686;0,572;17,54%;7,39%;Bug? qozoni
;;Mean entropy and complexity;0,583;0,535;-0,11%;0,52%;Sur tuproqlar
4;3;Minimum entropy;0,47;0,457;-14,94%;-12,32%;O?zbekiston Xalq demokratik partiyasi
;;Mean entropy;0,553;0,524;-0,01%;0,47%;Izmaylova Galiya
;;Maximum entropy;0,658;0,58;19,07%;11,31%;Birja
;;Minimum complexity;0,47;0,457;-14,94%;-12,32%;O?zbekiston Xalq demokratik partiyasi
;;Mean complexity;0,55;0,521;-0,51%;-0,01%;Mebel sanoati
;;Maximum complexity;0,658;0,58;19,01%;11,32%;Ubuntu
;;Mean entropy and complexity;0,553;0,524;0,04%;0,49%;Chang (cholg?u asbobi)
5;2;Minimum entropy;0,467;0,453;-15,33%;-12,89%;O?zbekiston Respublikasi Ichki ishlar vazirligi
;;Mean entropy;0,551;0,523;-0,02%;0,41%;O?zbekiston milliy universitetining ilmiy kutubxonasi
;;Maximum entropy;0,659;0,58;19,52%;11,52%;O?zbekiston Respublikasi Vazirlar Mahkamasi
;;Minimum complexity;0,467;0,453;-15,33%;-12,89%;O?zbekiston Respublikasi Ichki ishlar vazirligi
;;Mean complexity;0,548;0,52;-0,55%;0,00%;Ibrohim oxund madrasasi
;;Maximum complexity;0,659;0,581;19,48%;11,70%;Molla Panah Vogif
;;Mean entropy and complexity;0,551;0,522;-0,02%;0,39%;Istehzo madrasasi
6;1;Minimum entropy;0,69;0,487;-9,40%;8,52%;Uchqun kamera (Fizika)
;;Mean entropy;0,762;0,455;0,00%;1,34%;O?rta paleolit
;;Maximum entropy;0,844;0,362;10,85%;-19,22%;Elektr bilan davolash
;;Minimum complexity;0,843;0,362;10,71%;-19,29%;Veterinariya xizmati
;;Mean complexity;0,769;0,449;0,93%;0,07%;Mineral suvlar
;;Maximum complexity;0,696;0,491;-8,57%;9,48%;Erich Neumann
;;Mean entropy and complexity;0,757;0,46;-0,65%;2,47%;Udi
;;;;;;;
Hindi;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;4;Minimum entropy;0,62;0,508;-13,06%;4,88%;???
;;Mean entropy;0,713;0,503;-0,03%;3,84%;??????
;;Maximum entropy;0,814;0,409;14,18%;-15,53%;???
;;Minimum complexity;0,781;0,393;9,44%;-18,80%;???
;;Mean complexity;0,711;0,484;-0,36%;-0,01%;???
;;Maximum complexity;0,654;0,516;-8,30%;6,60%;????
;;Mean entropy and complexity;0,697;0,51;-2,24%;5,35%;?? (??????)
3;5;Minimum entropy;0,522;0,493;-13,37%;-8,29%;????????
;;Mean entropy;0,603;0,545;-0,02%;1,41%;?????????? ???????? '??????'
;;Maximum entropy;0,7;0,566;16,21%;5,17%;???
;;Minimum complexity;0,522;0,492;-13,35%;-8,46%;?????
;;Mean complexity;0,591;0,538;-1,91%;-0,03%;???????, ????? ?? ??????
;;Maximum complexity;0,693;0,57;15,04%;5,94%;??????
;;Mean entropy and complexity;0,6;0,543;-0,40%;0,94%;??????
4;2;Minimum entropy;0,682;0,463;-11,00%;9,16%;???
;;Mean entropy;0,766;0,44;0,00%;3,72%;???
;;Maximum entropy;0,847;0,341;10,61%;-19,56%;?????
;;Minimum complexity;0,841;0,34;9,80%;-19,86%;????? ???
;;Mean complexity;0,778;0,424;1,53%;-0,01%;????
;;Maximum complexity;0,686;0,484;-10,44%;13,96%;???????? ????? '??????'
;;Mean entropy and complexity;0,759;0,441;-0,88%;3,84%;?????
4;3;Minimum entropy;0,509;0,49;-13,54%;-9,55%;????? (?????????)
;;Mean entropy;0,589;0,547;-0,05%;0,98%;??????
;;Maximum entropy;0,71;0,572;20,66%;5,58%;??????
;;Minimum complexity;0,509;0,49;-13,54%;-9,55%;????? (?????????)
;;Mean complexity;0,58;0,541;-1,46%;-0,02%;???
;;;;;-100,00%;-100,00%;?? (??????)
;;Maximum complexity;0,703;0,585;19,42%;8,10%;????
;;Mean entropy and complexity;0,588;0,546;-0,22%;0,75%;????
6;1;Minimum entropy;0,744;0,466;-7,63%;15,30%;?????
;;Mean entropy;0,805;0,409;-0,04%;1,22%;??????
;;Maximum entropy;0,866;0,32;7,56%;-20,74%;??????
;;Minimum complexity;0,866;0,32;7,56%;-20,74%;??????
;;Mean complexity;0,813;0,404;0,93%;-0,21%;???
;;Maximum complexity;0,744;0,466;-7,63%;15,30%;?????
;;Mean entropy and complexity;0,803;0,413;-0,34%;2,20%;??
;;;;;;;
Latin;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,7;0,614;-11,34%;7,71%;Gregorius I,
;;;;;;;"""Incipiunt decreta Gregorii Papae"""
;;Mean entropy;0,79;0,588;0,00%;3,18%;"Marcus Tullius Cicero, ""Laelius de Amicitia"""
;;Maximum entropy;0,874;0,461;10,64%;-19,00%;"""Calixtus II"
;;;;;;;"Epistolae et privilegia"""
;;Minimum complexity;0,873;0,46;10,53%;-19,23%;"Alcuinus, ""De dialectica"""
;;Mean complexity;0,811;0,57;2,71%;0,00%;"Richardus Venusinus, ""De Paulino et Polla"""
;;Maximum complexity;0,721;0,616;-8,64%;8,17%;Sextus Pompeius Festus,
;;;;;;;"""Fragmentum de significatione verborum"""
;;Mean entropy and complexity;0,773;0,595;-2,07%;4,48%;Ado Viennensis,
;;;;;;;"""Chronicon"""
3;7;Minimum entropy;0,6;0,583;-15,29%;-7,22%;"""De rerum naturis"""
;;Mean entropy;0,708;0,642;0,00%;2,16%;Lucius Apuleius,
;;;;;;;"""Apologia sive pro se de magia"""
;;Maximum entropy;0,831;0,588;17,31%;-6,44%;Quintus Horatius Flaccus,
;;;;;;;"""Epistvlarvm"""
;;Minimum complexity;0,811;0,53;14,45%;-15,53%;Stephanus VI,
;;;;;;;"""Epistolae et privilegia"""
;;Mean complexity;0,67;0,628;-5,45%;0,00%;Bernardus Claraevallensis,
;;;;;;;"""Sermones in Canticum Canticorum"""
;;Maximum complexity;0,745;0,652;5,19%;3,78%;Aurelius Prudentius Clemens,
;;;;;;;"""Contra Symmachum"""
;;Mean entropy and complexity;0,699;0,642;-1,35%;2,20%;Petrus Abaelardus,
;;;;;;;"""Praedicamenta de praedicamentis Aristotelis"""
4;4;Minimum entropy;0,6;0,584;-15,00%;-7,67%;Sophronius Eusebius Hieronymus,
;;;;;;;"""Liber Ieremiae"""
;;Mean entropy;0,706;0,648;-0,01%;2,49%;Aurelius Augustinus,
;;;;;;;"""Contra Adimantum Manichaei discipulum"""
;;Maximum entropy;0,83;0,604;17,57%;-4,47%;Quintus Horatius Flaccus,
;;;;;;;"""Epistvlarvm"""
;;Minimum complexity;0,822;0,533;16,42%;-15,70%;Stephanus VI,
;;;;;;;"""Epistolae et privilegia"""
;;Mean complexity;0,671;0,632;-4,97%;0,00%;Ambrosius,
;;;;;;;"""De poenitentia"""
;;Maximum complexity;0,744;0,655;5,35%;3,60%;Dudo Sancti Quintini,
;;;;;;;"""De moribus et actis primorum Normannorum ducum"""
;;Mean entropy and complexity;0,697;0,645;-1,24%;2,03%;Hyginus Mythographus,
;;;;;;;"""Genealogiarum liber"""
4;5;Minimum entropy;0,484;0,483;-15,04%;-14,48%;Nicetas Aquileiensis,
;;;;;;;"""Explanatio symboli"""
;;Mean entropy;0,57;0,566;0,00%;0,20%;Mamertus Claudianus,
;;;;;;;"""Hymnus de passione Domini"""
;;Maximum entropy;0,675;0,658;18,47%;16,41%;Lucius Annaeus Seneca,
;;;;;;;"""Epistulae morales ad Lucilium"""
;;Minimum complexity;0,484;0,483;-15,04%;-14,48%;Nicetas Aquileiensis,
;;;;;;;"""Explanatio symboli"""
;;Mean complexity;0,568;0,565;-0,25%;0,00%;Sophronius Eusebius Hieronymus,
;;;;;;;"""Commentaria in Epistolam ad Titum"""
;;Maximum complexity;0,675;0,658;18,47%;16,41%;Lucius Annaeus Seneca,
;;;;;;;"""Epistulae morales ad Lucilium"""
;;Mean entropy and complexity;0,571;0,568;0,26%;0,48%;Ausonius,
;;;;;;;"""Idyllia"""
5;3;Minimum entropy;0,521;0,518;-15,61%;-13,91%;Marcus Fabius Quintilianus,
;;;;;;;"""Declamationes maiores"""
;;Mean entropy;0,617;0,605;0,00%;0,64%;Alcuinus,
;;;;;;;"""Carmina 2"""
;;Maximum entropy;0,726;0,675;17,58%;12,20%;Ambrosius,
;;;;;;;"""Explanatio symboli ad initiandos"""
;;Minimum complexity;0,521;0,518;-15,61%;-13,91%;Marcus Fabius Quintilianus,
;;;;;;;"""Declamationes maiores"""
;;Mean complexity;0,613;0,602;-0,76%;-0,02%;Eucherius Lugdunensis,
;;;;;;;"""Passio Agaunensium martyrum"""
;;Maximum complexity;0,726;0,675;17,58%;12,20%;Ambrosius,
;;;;;;;"""Explanatio symboli ad initiandos"""
;;Mean entropy and complexity;0,618;0,606;0,02%;0,66%;Cassiodorus Vivariensis,
;;;;;;;"""De orthographia"""
6;2;Minimum entropy;0,6;0,586;-13,10%;-8,11%;"""Evangelium secundum Ioannem"""
;;Mean entropy;0,691;0,647;-0,02%;1,51%;Bonaventura,
;;;;;;;"""Collationes de septem donis Spiritus Sancti - Collatio VII"""
;;Maximum entropy;0,8;0,644;15,81%;0,98%;Aurelius Augustinus,
;;;;;;;"""De Anima et eius Origine"""
;;Minimum complexity;0,6;0,586;-13,10%;-8,11%;"""Evangelium secundum Ioannem"""
;;Mean complexity;0,672;0,638;-2,68%;-0,01%;Sophronius Eusebius Hieronymus,
;;;;;;;"""Epistulae"""
;;Maximum complexity;0,749;0,663;8,50%;3,95%;Rufinus Aquileiensis,
;;;;;;;"""Historia ecclesiastica"""
;;Mean entropy and complexity;0,686;0,645;-0,66%;1,18%;Sophronius Eusebius Hieronymus,
;;;;;;;"""Commentaria in Epistolam ad Titum"""
;;;;;;;
Bulgarian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;6;Minimum entropy;0,667;0,6;-14,16%;13,59%;"Велков Крум, ""Водител"""
;;Mean entropy;0,777;0,535;-0,02%;1,19%;"Георги Марков, ""Задочни репортажи за България"""
;;Maximum entropy;0,826;0,442;6,30%;-16,32%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Minimum complexity;0,826;0,442;6,30%;-16,32%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Mean complexity;0,787;0,528;1,29%;-0,03%;"Делиян Маринов, """
;;;;;;;"Пътуване през спомени"" Част 2"
;;Maximum complexity;0,709;0,61;-8,75%;15,48%;"Йордан Милев, ""От малката до голямата планина"""
;;Mean entropy and complexity;0,792;0,507;1,98%;-3,96%;"Георги Коновски, ""С храна си живял"""
3;8;Minimum entropy;0,518;0,515;-20,08%;-16,59%;"Велков Крум, ""Водител"""
;;Mean entropy;0,648;0,621;-0,01%;0,64%;"Кирил Христов, ""Трепети"""
;;Maximum entropy;0,719;0,636;10,93%;3,00%;"Ради Царев, ""Меча бърлога"""
;;Minimum complexity;0,518;0,515;-20,08%;-16,59%;"Велков Крум, ""Водител"""
;;Mean complexity;0,639;0,617;-1,39%;-0,01%;"Цончо Родев, ""Наричаха ме Желязната ръка"""
;;Maximum complexity;0,702;0,649;8,30%;5,11%;"Марко Семов, ""И за Америка като за Америка"""
;;Mean entropy and complexity;0,647;0,62;-0,16%;0,47%;"Цончо Родев, ""Мечът на непримиримите"""
4;4;Minimum entropy;0,613;0,593;-18,25%;-4,82%;"Иван Мариновски, ""Руфо, червенокосия"""
;;Mean entropy;0,75;0,645;-0,05%;3,45%;"Светомир Бабаков, ""Червеният автобус"""
;;Maximum entropy;0,824;0,549;9,88%;-11,88%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Minimum complexity;0,824;0,549;9,88%;-11,88%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Mean complexity;0,659;0,623;-12,09%;0,00%;"Петя Дубарова, ""Лястовица"""
;;Maximum complexity;0,725;0,648;-3,32%;4,01%;"Алекс Болдин, ""Песента на токачката"""
;;Mean entropy and complexity;0,733;0,644;-2,25%;3,40%;"Чудомир, ""Под шарената черга"""
4;5;Minimum entropy;0,501;0,5;-20,82%;-19,33%;"Пейо Яворов, ""Подир сенките на облаците"""
;;Mean entropy;0,633;0,623;-0,01%;0,47%;"Константин Константинов, ""Сърдцето въ картонената кутия"""
;;Maximum entropy;0,72;0,675;13,79%;8,90%;"Атанас Далчев, ""И сърцето най-сетне умира"""
;;Minimum complexity;0,501;0,5;-20,82%;-19,33%;"Пейо Яворов, ""Подир сенките на облаците"""
;;Mean complexity;0,629;0,62;-0,54%;-0,01%;"Александър Белтов, ""Фосикър"""
;;Maximum complexity;0,719;0,677;13,63%;9,23%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Mean entropy and complexity;0,633;0,623;-0,01%;0,47%;"Константин Константинов, ""Сърдцето въ картонената кутия"""
5;3;Minimum entropy;0,564;0,558;-19,93%;-14,80%;"Георги Караджов, ""Звънчето"""
;;Mean entropy;0,704;0,663;0,00%;1,19%;"Цончо Родев, ""Мечът на непримиримите"""
;;Maximum entropy;0,797;0,654;13,15%;-0,14%;"Бинка Пеева, ""Наръчник за кандидат-министерши"""
;;Minimum complexity;0,564;0,558;-19,93%;-14,80%;"Георги Караджов, ""Звънчето"""
;;Mean complexity;0,687;0,655;-2,49%;-0,02%;"Светослава Славова, ""Мразя клишетата"""
;;Maximum complexity;0,743;0,676;5,48%;3,22%;"Явор Цанев, ""Избраникът"""
;;Mean entropy and complexity;0,7;0,662;-0,67%;1,07%;"Никола Вапцаров, ""Моторни песни"""
6;2;Minimum entropy;0,609;0,593;-19,17%;-7,34%;"Александър Драганов, ""Перлата на феникса"""
;;Mean entropy;0,753;0,65;-0,04%;1,61%;"Павел Вежинов, ""Голямата стъпка"""
;;Maximum entropy;0,837;0,568;11,09%;-11,25%;"Валентин Попов - Вотан, ""Брод през световете"""
;;Minimum complexity;0,837;0,568;11,09%;-11,25%;"Валентин Попов - Вотан, ""Брод през световете"""
;;Mean complexity;0,78;0,64;3,52%;-0,02%;"Антон Антонов — Тонич, ""Откраднатият влак"""
;;Maximum complexity;0,743;0,66;-1,39%;3,13%;"Владимир Колев, ""Спокойствието на хаоса"""
;;Mean entropy and complexity;0,746;0,651;-1,01%;1,65%;"Цончо Родев, ""Мечът на непримиримите"""
;;;;;;;
Punjabi;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;3;Minimum entropy;0,571;0,428;-16,74%;2,32%;"???? ???? ??? ??, ""??????"""
;;Mean entropy;0,686;0,421;0,00%;0,74%;???? ??? ???? ??
;;Maximum entropy;0,819;0,335;19,43%;-19,91%;"???? ?????? ???, ""???-??-????"""
;;Minimum complexity;0,801;0,335;16,80%;-19,91%;"???? ??? ???, ""??????"""
;;Mean complexity;0,712;0,418;3,78%;0,00%;"???? ????????, ""?????? ?????"""
;;Maximum complexity;0,626;0,45;-8,72%;7,58%;"???? ?????? ???? ??, ""???? ?? ???"""
;;Mean entropy and complexity;0,68;0,432;-0,80%;3,35%;"???? ???????? ???, ""??????? ?????"""
3;4;Minimum entropy;0,44;0,411;-18,48%;-12,99%;"??? ???? ????, ""?????? ????????"""
;;Mean entropy;0,54;0,476;0,00%;0,81%;"???? ??? ??? ??, ""????"""
;;Maximum entropy;0,651;0,51;20,62%;7,97%;"??? ??? ??? ????, ""?????-?-???? (?????)"""
;;Minimum complexity;0,441;0,392;-18,29%;-17,01%;"??????? ?????, ""??? ???"""
;;Mean complexity;0,541;0,472;0,15%;0,00%;"??? ?????? ???, ""???? ?????? (?.) (?????? ???????)"""
;;Maximum complexity;0,649;0,516;20,25%;9,24%;"??? ??? ?????, ""?????? ????????"""
;;Mean entropy and complexity;0,539;0,469;-0,21%;-0,70%;"????? ???? ????, ""???????? ????????"""
4;2;Minimum entropy;0,521;0,451;-16,22%;-5,07%;"???????? ???? ????, ""?????? ?????"""
;;Mean entropy;0,622;0,481;0,00%;1,15%;"?????? ??? ?????, ""????????"""
;;Maximum entropy;0,734;0,442;18,04%;-6,97%;"????? ?????, ""?????? ????????"""
;;Minimum complexity;0,723;0,387;16,27%;-18,54%;"??? ???? ???????, ""????????"""
;;Mean complexity;0,605;0,483;-2,79%;1,66%;"???? ???? ??? ??, ""????"""
;;Maximum complexity;0,649;0,488;4,37%;2,72%;"??? ????? ??????, ""?????"""
;;Mean entropy and complexity;0,621;0,48;-0,17%;0,94%;"??? ??? ?????, ""?????? ????????"""
5;1;Minimum entropy;0,661;0,419;-13,43%;17,87%;"?????? ????, ""?????? ????/?????"""
;;Mean entropy;0,763;0,365;-0,01%;2,62%;"???? ???? ???, ""??? ???? ?? ?????"""
;;Maximum entropy;0,847;0,281;10,93%;-20,95%;"??? ???? ???????, ""????? ????????"""
;;Minimum complexity;0,838;0,28;9,75%;-21,23%;"????, ""?????? ???????? ?? ???"""
;;Mean complexity;0,777;0,355;1,82%;0,00%;"????? ????? ???? ???????, ""????-??-??? ????? ????? ??????"""
;;Maximum complexity;0,664;0,42;-13,04%;18,15%;???? ??????? ???
;;Mean entropy and complexity;0,763;0,362;-0,06%;1,82%;"??? ?????, ""??????"""
;;;;;;;
Tagalog;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece 
3;3;Minimum entropy;0,548;0,423;-12,80%;0,14%;"Jos? Coraz?n de Jes?s, ""Kamay ng Birhen"""
;;Mean entropy;0,629;0,417;0,04%;-1,21%;"""Pagbubuksan Ka ng Pinto"""
;;Maximum entropy;0,737;0,35;17,25%;-17,06%;"""Tagalog: Ang Dating Biblia"", Judges 1 "
;;Minimum complexity;0,66;0,343;5,09%;-18,82%;"Jos? Rizal, ""Paalaala sa mga Mapagusapin"""
;;Mean complexity;0,677;0,423;7,80%;0,14%;"""Bolang Apoy"""
;;Maximum complexity;0,596;0,441;-5,16%;4,41%;"Amado V. Hernandez, ""Inang Wika"""
;;Mean entropy and complexity;0,638;0,41;1,53%;-2,96%;"Amado V. Hernandez, ""Ang Baboy at ang Punong Mangga"""
3;4;Minimum entropy;0,46;0,42;-12,48%;-9,07%;"Jos? Coraz?n de Jes?s, ""Agaw-Dilim"""
;;Mean entropy;0,526;0,468;0,13%;1,38%;"""Tapat na Handog sa Pilipina"""
